rank,team,total,barrels,r_plus_rbi,xwoba,ev90,chase_rate,sb,k,xfip,whiff_rate,barrel_rate_allowed,qs
1,Team 02,70.5,5.5,2.0,7.0,5.0,8.0,5.5,9.0,10.0,10.0,6.0,2.5
1,Team 05,70.5,5.5,6.0,9.0,9.0,2.0,5.5,6.0,9.0,9.0,7.0,2.5
3,Team 08,68.0,5.5,5.0,10.0,6.0,10.0,5.5,4.0,1.0,2.0,9.0,10.0
4,Team 03,67.0,8.5,3.5,4.0,7.0,4.0,5.5,7.5,7.0,4.0,8.0,8.0
5,Team 06,66.5,5.5,9.5,8.0,8.0,6.0,5.5,4.0,6.0,5.0,3.0,6.0
6,Team 01,64.5,10.0,8.0,1.0,1.0,7.0,5.5,10.0,2.0,8.0,5.0,7.0
7,Team 04,62.0,1.5,3.5,3.0,10.0,1.0,5.5,7.5,5.0,6.0,10.0,9.0
8,Team 07,51.5,8.5,9.5,6.0,2.0,5.0,5.5,4.0,4.0,1.0,2.0,4.0
9,Team 10,50.5,1.5,7.0,2.0,4.0,9.0,5.5,1.5,8.0,7.0,4.0,1.0
10,Team 09,34.0,3.0,1.0,5.0,3.0,3.0,5.5,1.5,3.0,3.0,1.0,5.0
